action_name,qwen2.5:7b,frequency
,no-user,
disconnect_vpn,0.0,0.039634146341463415
enable_roaming,0.8076923076923077,0.07926829268292683
grant_app_permission,0.19047619047619047,0.06402439024390244
make_payment,0.3333333333333333,0.018292682926829267
reboot_device,0.2857142857142857,0.06402439024390244
refuel_data,0.6153846153846154,0.07926829268292683
reseat_sim_card,1.0,0.04878048780487805
reset_apn_settings,0.0,0.04573170731707317
resume_line,0.0,0.018292682926829267
send_payment_request,0.3333333333333333,0.018292682926829267
set_network_mode_preference,1.0,0.11890243902439024
toggle_airplane_mode,1.0,0.11280487804878049
toggle_data,0.9615384615384616,0.07926829268292683
toggle_data_saver_mode,0.0,0.04573170731707317
toggle_roaming,0.7096774193548387,0.09451219512195122
toggle_wifi_calling,0.0,0.03353658536585366
transfer_to_human_agents,0.15384615384615385,0.039634146341463415
